"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","SOX2","EOMES","MYT1L","Zone"
"SRR2967199",-20.2463586414562,-1.93463666899906,"5",40.5321830364683,"N_like","N1",3.63173292288361,0,0.786635669568022,"CP"
"SRR2967200",-19.1426122045451,-1.41339845537646,"5",39.3262024864716,"N_like","N1",3.07557712641365,0,0,"CP"
"SRR2967201",1.62058658312342,3.43344884732791,"4",17.8919112039595,"BP_like","BP1",3.50359043631107,0,0,"oSVZ"
"SRR2967202",-18.9638100842036,-1.96136159520275,"5",39.3089327141392,"N_like","N1",1.96765926178782,2.79545319397991,0.133532488394518,"CP"
"SRR2967203",-19.0268796727806,-1.76751488226697,"5",39.3148652970286,"N_like","N1",2.45832950338122,3.57785175516093,4.17235949784814,"CP"
"SRR2967204",-19.812785269971,-1.57327120951152,"5",40.0143581496629,"N_like","N1",3.38656679864246,0,0,"CP"
"SRR2967205",-19.3091328670342,-1.25848844799155,"5",39.442381508118,"N_like","N1",3.19498215329722,0,0,"CP"
"SRR2967206",-19.451293948917,-1.64838600686941,"5",39.6886110604147,"N_like","N1",3.32895275960017,0,0,"CP"
"SRR2967207",-4.67311860936676,2.30294902066221,"4",24.2565390624853,"BP_like","BP1",4.04804432515108,0,0,"oSVZ"
"SRR2967208",-13.346882148053,0.160973602114701,"5",33.3227251383173,"N_like","N1",3.62627558304979,0,3.7022696700075,"oSVZ"
"SRR2967209",-19.3208978724763,-1.42833901949443,"5",39.5015104371008,"N_like","N1",2.8731261308665,0,0.22279714357097,"CP"
"SRR2967210",-19.0032255403916,-1.18436009221558,"5",39.1279332830798,"N_like","N1",3.2603493977494,0,0.420304530168999,"CP"
"SRR2967211",-18.9841220724136,-1.10110259709661,"5",39.0861469325338,"N_like","N1",3.46210468427223,0,0,"CP"
"SRR2967212",-16.783834856486,-0.790867580190295,"5",36.8874374144951,"N_like","N1",1.1939104877234,0,0,"CP"
"SRR2967213",-19.2417672936249,-1.37043740694328,"5",39.4092624037413,"N_like","N1",3.84394365699723,0,0.227867968285197,"CP"
"SRR2967214",-19.723055607299,-1.2980173410432,"5",39.8507324001929,"N_like","N1",3.84316983799918,0,0,"CP"
"SRR2967215",-18.5734612496392,-2.14137840065768,"5",38.9850306862747,"N_like","N1",0,0,2.87600608068978,"CP"
"SRR2967216",-15.4640401496049,-0.118006052761633,"5",35.4413987389761,"N_like","N1",0,0,0.203222459799448,"CP"
"SRR2967217",-9.09531498437325,1.84927509964556,"4",28.635986110944,"N_like","BP1",3.49561842148514,0,0.210962337071888,"oSVZ"
