"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","PAX6","EOMES","MYT1L","Zone"
"SRR2967185",-19.3440210235784,-1.54353923835162,"5",39.5561412655668,"N_like","N1",1.44713481506982,0,0.215817734651394,"CP"
"SRR2967186",-20.4311205921206,-1.86847401096324,"5",40.690839824596,"N_like","N1",9.15258146439443,0,0,"CP"
"SRR2967187",-20.6955058534309,-2.0175721912908,"5",40.9865177054384,"N_like","N1",6.34758770898189,0,0,"CP"
"SRR2967188",6.89094069959744,4.82574230263173,"3",13.2175534744581,"BP_like","BP2",0,0,0,"iSVZ"
"SRR2967189",-19.7223733472561,-1.87589501708139,"5",40.0128206404293,"N_like","N1",7.58520292985943,0,0,"CP"
"SRR2967190",-19.3148440888889,-1.39488807185327,"5",39.4862770997159,"N_like","N1",5.14534323288774,0,0,"CP"
"SRR2967191",-16.7557383495248,-0.407005795225939,"5",36.7583523706235,"N_like","N1",6.79364882457398,0,0,"CP"
"SRR2967192",-8.51600889102072,1.20744552263266,"4",28.2569692346605,"N_like","BP1",8.30321451623487,0,0,"oSVZ"
"SRR2967193",-7.1024192735786,2.18126320962884,"4",26.6431264713364,"BP_like","BP1",4.14438089246299,0,0,"oSVZ"
"SRR2967194",-1.52404732655349,1.91173832294541,"4",21.1869349791712,"BP_like","BP1",4.13132607460659,0,1.37630149804802,"oSVZ"
"SRR2967195",-19.0649941634919,-1.70322599719742,"5",39.3333402604706,"N_like","N1",6.62515503407812,0,0.0369521258281847,"CP"
"SRR2967196",-10.8272602464541,0.88118480801919,"4",30.5657635651305,"N_like","BP1",8.27038410497371,0,0,"oSVZ"
"SRR2967197",-19.7453913613066,-1.58581350003473,"5",39.9532158376528,"N_like","N1",0.662029539386064,0,0.472203883536159,"CP"
"SRR2967198",-19.911717880186,-1.62580008528614,"5",40.1240939692844,"N_like","N1",6.77304687128231,0,0,"CP"
"SRR2967199",-20.2463586414562,-1.93463666899906,"5",40.5321830364683,"N_like","N1",6.46596467242305,0,0.786635669568022,"CP"
"SRR2967200",-19.1426122045451,-1.41339845537646,"5",39.3262024864716,"N_like","N1",8.33209922420911,0,0,"CP"
"SRR2967201",1.62058658312342,3.43344884732791,"4",17.8919112039595,"BP_like","BP1",0.264417527611016,0,0,"oSVZ"
"SRR2967202",-18.9638100842036,-1.96136159520275,"5",39.3089327141392,"N_like","N1",0.972205915030136,2.79545319397991,0.133532488394518,"CP"
"SRR2967203",-19.0268796727806,-1.76751488226697,"5",39.3148652970286,"N_like","N1",7.31494118308921,3.57785175516093,4.17235949784814,"CP"
"SRR2967204",-19.812785269971,-1.57327120951152,"5",40.0143581496629,"N_like","N1",2.33732004166584,0,0,"CP"
"SRR2967205",-19.3091328670342,-1.25848844799155,"5",39.442381508118,"N_like","N1",0,0,0,"CP"
"SRR2967206",-19.451293948917,-1.64838600686941,"5",39.6886110604147,"N_like","N1",6.12873056508178,0,0,"CP"
"SRR2967207",-4.67311860936676,2.30294902066221,"4",24.2565390624853,"BP_like","BP1",1.62057233530965,0,0,"oSVZ"
"SRR2967208",-13.346882148053,0.160973602114701,"5",33.3227251383173,"N_like","N1",0,0,3.7022696700075,"oSVZ"
"SRR2967209",-19.3208978724763,-1.42833901949443,"5",39.5015104371008,"N_like","N1",1.82229778443711,0,0.22279714357097,"CP"
"SRR2967210",-19.0032255403916,-1.18436009221558,"5",39.1279332830798,"N_like","N1",0,0,0.420304530168999,"CP"
"SRR2967211",-18.9841220724136,-1.10110259709661,"5",39.0861469325338,"N_like","N1",3.69116562763225,0,0,"CP"
"SRR2967212",-16.783834856486,-0.790867580190295,"5",36.8874374144951,"N_like","N1",7.64177721169212,0,0,"CP"
"SRR2967213",-19.2417672936249,-1.37043740694328,"5",39.4092624037413,"N_like","N1",7.15464598779768,0,0.227867968285197,"CP"
